@relation celebrity2

@attribute first_person_pronouns numeric
@attribute second_person_pronouns numeric
@attribute third_person_pronouns numeric
@attribute coord_conj numeric
@attribute past_tense_verb numeric
@attribute future_tense_verb numeric
@attribute commas_num numeric
@attribute colons_and_semi_colons numeric
@attribute dash_num numeric
@attribute paren_num numeric
@attribute ellipses_num numeric
@attribute common_nouns numeric
@attribute proper_nouns numeric
@attribute adverb_num numeric
@attribute whwords_num numeric
@attribute slang_num numeric
@attribute all_in_upper_case_num numeric
@attribute avg_len_of_sentense numeric
@attribute avg_len_of_tokens numeric
@attribute num_of_sentense numeric
@attribute class {BarackObama,StephenAtHome,aplusk,KimKardashian,neiltyson,shakira}

@data
1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 3, 0, 1, 0, 0, 8.0, 4.0, 2,BarackObama
0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 4, 1, 0, 0, 0, 0, 7.0, 5.909090909090909, 2,BarackObama
0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 5, 1, 0, 0, 0, 0, 10.5, 4.75, 2,BarackObama
0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 6, 1, 0, 0, 0, 9.0, 4.875, 2,BarackObama
0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 0, 0, 0, 0, 5.333333333333333, 4.3076923076923075, 3,BarackObama
0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 5, 0, 3, 0, 0, 0, 10.5, 5.055555555555555, 2,BarackObama
0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 8, 2, 1, 0, 0, 0, 12.0, 3.761904761904762, 2,BarackObama
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 0, 0, 0, 0, 25.0, 5.428571428571429, 1,BarackObama
0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 6, 3, 1, 0, 0, 0, 30.0, 3.9285714285714284, 1,BarackObama
0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 7, 3, 0, 0, 0, 0, 10.5, 5.705882352941177, 2,BarackObama
0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 5, 1, 0, 0, 0, 0, 6.0, 3.0, 2,BarackObama
2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 10.5, 4.722222222222222, 2,BarackObama
0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4.0, 5.714285714285714, 3,BarackObama
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.0, 3.6666666666666665, 1,BarackObama
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2, 1, 0, 0, 0, 10.0, 4.5, 1,BarackObama
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 4, 3, 0, 0, 0, 0, 13.0, 5.0, 1,BarackObama
0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 20.0, 5.388888888888889, 1,BarackObama
