@relation cnncbc

@attribute first_person_pronouns numeric
@attribute second_person_pronouns numeric
@attribute third_person_pronouns numeric
@attribute coord_conj numeric
@attribute past_tense_verb numeric
@attribute future_tense_verb numeric
@attribute commas_num numeric
@attribute colons_and_semi_colons numeric
@attribute dash_num numeric
@attribute paren_num numeric
@attribute ellipses_num numeric
@attribute common_nouns numeric
@attribute proper_nouns numeric
@attribute adverb_num numeric
@attribute whwords_num numeric
@attribute slang_num numeric
@attribute all_in_upper_case_num numeric
@attribute avg_len_of_sentense numeric
@attribute avg_len_of_tokens numeric
@attribute num_of_sentense numeric
@attribute class {cnn,CBCNews}

@data
0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 2, 2, 1, 0, 0, 0, 13.0, 5.2, 1,cnn
0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 0, 0, 0, 0, 20.0, 4.235294117647059, 1,cnn
1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 10, 0, 0, 0, 0, 0, 21.0, 5.0, 1,cnn
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 0, 0, 0, 0, 9.0, 5.0, 1,cnn
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 1, 1, 0, 0, 0, 8.0, 5.5, 1,cnn
0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 4, 0, 0, 0, 0, 0, 12.0, 5.0, 1,cnn
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 5.0, 3.5, 1,cnn
0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 6, 4, 1, 0, 0, 0, 21.0, 4.875, 1,cnn
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 0, 8.0, 4.857142857142857, 1,cnn
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 5, 1, 1, 0, 0, 14.0, 4.0, 2,cnn
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 8.0, 6.142857142857143, 1,cnn
1, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 5, 3, 3, 0, 0, 0, 10.5, 4.0588235294117645, 2,cnn
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 4, 0, 0, 0, 0, 9.0, 5.142857142857143, 1,cnn
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 7.0, 4.666666666666667, 1,cnn
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 7.0, 5.5, 1,cnn
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 1, 0, 0, 0, 8.0, 4.285714285714286, 1,cnn
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 6.0, 6.8, 1,cnn
0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 3, 3, 0, 0, 0, 0, 16.0, 5.714285714285714, 1,cnn
0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 2, 0, 0, 0, 6.333333333333333, 3.8823529411764706, 3,cnn
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 4.0, 3.8333333333333335, 2,cnn
0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 9, 4, 1, 0, 0, 0, 11.5, 5.684210526315789, 2,cnn
2, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 2, 2, 1, 0, 0, 0, 17.0, 3.3333333333333335, 1,cnn
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 2, 0, 0, 0, 0, 7.0, 7.4, 1,cnn
0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 0, 0, 0, 10.0, 3.6666666666666665, 1,cnn
0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 7.0, 4.666666666666667, 1,cnn
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 4, 1, 0, 0, 0, 0, 8.0, 4.384615384615385, 2,cnn
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 0, 0, 0, 0, 11.0, 4.3, 1,cnn
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 6.0, 6.4, 1,cnn
0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 3, 3, 0, 0, 0, 0, 12.0, 4.555555555555555, 1,cnn
1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 2, 0, 0, 0, 0, 11.0, 4.25, 1,cnn
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 9.0, 5.0, 1,cnn
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 1, 0, 0, 8.0, 4.428571428571429, 1,cnn
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 10.0, 4.777777777777778, 1,cnn
0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 7.0, 4.833333333333333, 1,cnn
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 5, 1, 0, 0, 0, 0, 5.5, 5.4, 2,cnn
0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 8, 1, 1, 0, 0, 0, 20.0, 4.888888888888889, 1,cnn
0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 4, 1, 1, 0, 0, 0, 13.0, 5.2727272727272725, 1,cnn
0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 10.0, 5.555555555555555, 1,cnn
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 1, 1, 0, 0, 0, 12.0, 4.818181818181818, 1,cnn
2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 2, 0, 0, 0, 0, 8.333333333333334, 5.181818181818182, 3,cnn
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.0, 8.0, 1,cnn
0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 7, 1, 0, 0, 0, 0, 17.0, 5.642857142857143, 1,cnn
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 11.0, 4.7, 1,cnn
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 0, 8.0, 4.0, 1,cnn
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 1, 0, 0, 0, 10.0, 7.0, 1,cnn
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 0, 0, 0, 0, 10.0, 5.333333333333333, 1,cnn
0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 4, 1, 0, 0, 0, 0, 10.0, 5.428571428571429, 1,cnn
0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 10, 2, 0, 1, 0, 0, 24.0, 3.7142857142857144, 1,cnn
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 8.0, 6.142857142857143, 1,cnn
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 0, 0, 0, 10.0, 5.0, 1,cnn
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 0, 0, 0, 0, 5.5, 5.555555555555555, 2,cnn
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 0, 0, 0, 0, 10.0, 5.222222222222222, 1,cnn
0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 6.5, 4.2727272727272725, 2,cnn
0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 9.0, 3.857142857142857, 1,cnn
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 0, 0, 0, 0, 10.0, 5.111111111111111, 1,cnn
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 0, 0, 0, 0, 13.0, 5.416666666666667, 1,cnn
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 0, 0, 0, 0, 8.0, 4.285714285714286, 1,cnn
0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 1, 0, 0, 0, 10.0, 5.666666666666667, 1,cnn
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 8.0, 3.857142857142857, 1,cnn
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 12.0, 5.142857142857143, 1,cnn
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 0, 0, 0, 5.5, 6.444444444444445, 2,cnn
0, 0, 1, 1, 0, 0, 0, 0, 2, 0, 0, 8, 1, 1, 0, 0, 0, 11.5, 5.315789473684211, 2,cnn
0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 5, 1, 0, 0, 0, 0, 14.0, 6.888888888888889, 1,cnn
0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 8.0, 7.0, 1,cnn
0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 5.5, 5.777777777777778, 2,cnn
0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 2, 4, 2, 0, 0, 0, 8.5, 5.666666666666667, 2,cnn
0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 3, 2, 0, 0, 0, 0, 6.5, 5.181818181818182, 2,cnn
0, 0, 0, 2, 0, 0, 4, 0, 0, 0, 0, 6, 3, 0, 0, 0, 0, 19.0, 5.6923076923076925, 1,cnn
