@relation pop

@attribute first_person_pronouns numeric
@attribute second_person_pronouns numeric
@attribute third_person_pronouns numeric
@attribute coord_conj numeric
@attribute past_tense_verb numeric
@attribute future_tense_verb numeric
@attribute commas_num numeric
@attribute colons_and_semi_colons numeric
@attribute dash_num numeric
@attribute paren_num numeric
@attribute ellipses_num numeric
@attribute common_nouns numeric
@attribute proper_nouns numeric
@attribute adverb_num numeric
@attribute whwords_num numeric
@attribute slang_num numeric
@attribute all_in_upper_case_num numeric
@attribute avg_len_of_sentense numeric
@attribute avg_len_of_tokens numeric
@attribute num_of_sentense numeric
@attribute class {britneyspears,justinbieber,katyperry,ladygaga,rihanna,taylorswift13}

@data
4, 2, 0, 0, 1, 0, 0, 0, 1, 0, 0, 4, 1, 4, 0, 1, 0, 6.2, 4.12, 5,britneyspears
0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 5, 2, 1, 0, 0, 0, 12.0, 4.55, 2,britneyspears
0, 0, 2, 1, 0, 0, 0, 0, 1, 0, 0, 3, 1, 1, 0, 0, 0, 8.0, 4.846153846153846, 2,britneyspears
0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 5, 3, 0, 0, 0, 0, 5.5, 3.9411764705882355, 4,britneyspears
2, 0, 0, 2, 2, 0, 0, 0, 1, 0, 0, 7, 4, 2, 0, 1, 0, 8.25, 3.925925925925926, 4,britneyspears
2, 2, 0, 1, 0, 0, 3, 2, 1, 0, 0, 8, 3, 5, 0, 1, 0, 18.5, 3.7857142857142856, 2,britneyspears
2, 2, 1, 2, 1, 0, 2, 1, 1, 0, 0, 9, 1, 2, 0, 2, 0, 17.5, 3.75, 2,britneyspears
0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 2, 4, 0, 0, 0, 0, 16.0, 4.25, 1,britneyspears
0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 4, 0, 0, 0, 0, 16.0, 4.6875, 1,britneyspears
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 0, 0, 0, 7.5, 3.5714285714285716, 2,britneyspears
4, 2, 0, 0, 0, 0, 1, 1, 1, 0, 0, 8, 2, 3, 0, 2, 0, 12.0, 3.75, 3,britneyspears
0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 9, 4, 1, 0, 2, 0, 5.4, 4.9523809523809526, 5,britneyspears
2, 3, 0, 0, 0, 0, 0, 0, 1, 0, 0, 10, 3, 1, 0, 0, 0, 8.666666666666666, 4.913043478260869, 3,britneyspears
1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 6, 0, 1, 0, 0, 0, 9.5, 5.5625, 2,britneyspears
1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 9, 1, 0, 1, 0, 0, 13.5, 4.6521739130434785, 2,britneyspears
1, 5, 0, 0, 1, 0, 1, 0, 2, 0, 0, 10, 4, 1, 0, 2, 0, 5.8, 3.92, 5,britneyspears
0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 7, 2, 1, 0, 0, 0, 9.0, 4.217391304347826, 3,britneyspears
1, 1, 1, 0, 0, 0, 0, 0, 2, 0, 1, 5, 1, 0, 0, 0, 0, 12.5, 4.045454545454546, 2,britneyspears
0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 4, 1, 1, 1, 0, 0, 6.333333333333333, 4.9375, 3,britneyspears
0, 1, 1, 1, 0, 0, 2, 0, 0, 0, 0, 6, 0, 2, 0, 0, 0, 11.0, 4.277777777777778, 2,britneyspears
0, 4, 1, 0, 1, 0, 1, 1, 1, 0, 0, 6, 2, 1, 0, 1, 0, 13.0, 4.090909090909091, 2,britneyspears
3, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 7, 2, 0, 1, 0, 0, 12.5, 4.478260869565218, 2,britneyspears
1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 5, 2, 0, 0, 0, 0, 5.0, 4.25, 3,britneyspears
