@relation popvnews500

@attribute first_person_pronouns numeric
@attribute second_person_pronouns numeric
@attribute third_person_pronouns numeric
@attribute coord_conj numeric
@attribute past_tense_verb numeric
@attribute future_tense_verb numeric
@attribute commas_num numeric
@attribute colons_and_semi_colons numeric
@attribute dash_num numeric
@attribute paren_num numeric
@attribute ellipses_num numeric
@attribute common_nouns numeric
@attribute proper_nouns numeric
@attribute adverb_num numeric
@attribute whwords_num numeric
@attribute slang_num numeric
@attribute all_in_upper_case_num numeric
@attribute avg_len_of_sentense numeric
@attribute avg_len_of_tokens numeric
@attribute num_of_sentense numeric
@attribute class {pop,news}

@data
0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 6, 3, 1, 0, 0, 0, 4.833333333333333, 3.730769230769231, 6,pop
0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 8, 0, 2, 0, 0, 0, 19.0, 4.235294117647059, 1,pop
2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 18.0, 4.3125, 1,pop
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 0, 1, 1, 0, 0, 6.333333333333333, 4.352941176470588, 3,pop
2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 2, 0, 1, 0, 6.5, 4.25, 2,pop
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 3.0, 9.5, 1,pop
0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 6, 2, 1, 0, 1, 0, 11.5, 4.3, 2,pop
3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 4, 4, 1, 2, 0, 9.333333333333334, 3.1481481481481484, 3,pop
2, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 9, 0, 1, 0, 0, 0, 13.0, 4.190476190476191, 2,pop
0, 3, 0, 0, 0, 0, 1, 0, 0, 0, 0, 4, 0, 3, 1, 0, 0, 7.666666666666667, 5.052631578947368, 3,pop
1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 0, 0, 0, 0, 5.333333333333333, 4.0, 3,pop
1, 0, 0, 1, 1, 0, 2, 0, 0, 0, 0, 9, 3, 2, 0, 0, 0, 14.0, 4.869565217391305, 2,pop
3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 6, 0, 3, 1, 0, 0, 4.2, 3.7777777777777777, 5,pop
0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 5, 0, 0, 0, 0, 0, 16.0, 4.0625, 1,pop
0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 6.0, 4.833333333333333, 1,pop
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 0, 0, 1, 0, 0, 5.5, 4.0, 2,pop
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 7, 1, 0, 0, 1, 0, 5.666666666666667, 4.846153846153846, 3,pop
1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 5, 0, 0, 1, 1, 0, 10.0, 4.0, 1,pop
1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 11, 2, 0, 0, 0, 0, 14.5, 4.3076923076923075, 2,pop
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 3.0, 11.0, 1,pop
1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 7, 1, 2, 0, 0, 0, 7.333333333333333, 4.368421052631579, 3,pop
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 3.0, 4.8, 2,pop
1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 8, 0, 2, 0, 0, 0, 12.0, 4.681818181818182, 2,pop
0, 1, 1, 1, 0, 0, 2, 0, 0, 0, 0, 5, 0, 2, 1, 1, 0, 8.25, 3.6666666666666665, 4,pop
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 8.0, 4.142857142857143, 1,pop
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2.0, 17.0, 1,pop
1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 2, 2, 1, 0, 0, 0, 5.0, 4.0, 3,pop
1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 7.0, 2.8, 1,pop
1, 3, 0, 1, 0, 0, 0, 1, 0, 0, 0, 12, 1, 1, 0, 3, 0, 6.6, 4.076923076923077, 5,pop
6, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 8.0, 3.5, 4,pop
0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 1, 0, 0, 0, 3.3333333333333335, 4.0, 3,pop
1, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 14, 2, 0, 1, 2, 0, 10.333333333333334, 4.0, 3,pop
0, 1, 2, 0, 1, 0, 1, 1, 0, 0, 0, 5, 0, 1, 0, 0, 0, 11.0, 4.117647058823529, 2,pop
1, 1, 2, 0, 0, 0, 1, 0, 0, 0, 0, 5, 0, 3, 0, 0, 0, 9.666666666666666, 4.24, 3,pop
2, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 6, 0, 0, 0, 1, 0, 8.0, 4.583333333333333, 2,pop
